"tool","cutting_depth_ai","tool_diameter_d","diameter_ae","feed_vel_f","revol_n","num_of_inserts_z","feet_per_insert_fz","cut_vel_vc","energy","time","distance"
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11545.3006085634,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11491.9355986168,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11470.6337114148,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11460.7625051696,9.592,0.151713466666667
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11429.3884666194,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11451.6188223515,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11424.0757399159,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11374.0117756241,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11180.7278785743,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11299.9721511024,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11494.6380374775,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11440.7221587996,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11418.5430272047,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11397.2606537407,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11374.4777460277,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11405.2802343858,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11365.3054705274,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11308.0366276021,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11106.5194231965,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11281.7493505582,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11468.9518967011,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11416.3612643601,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11421.6719122964,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11409.2335530636,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11375.6587801838,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11404.1547704623,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11379.4622482544,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11316.9081717026,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11124.4680380152,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11218.2384063878,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11442.5708359792,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11415.4895710117,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11400.3089176145,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11391.6517532887,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11360.5006023081,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11392.4292536443,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11371.8576254317,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11320.6011109809,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11146.158719086,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11180.8832020422,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11404.8136753047,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11403.2372246585,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11411.1388398593,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11410.174130873,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11378.4235590678,9.608,0.151966533333333
